Gene,MI
IGKC,0.4089092425258265
COL3A1,0.40662361115060186
IGHG1,0.4000298023683868
COL1A2,0.39427239348554943
COL1A1,0.36327145576542286
IGLC2,0.3570645001887458
IGKV1D-12,0.35611559491508515
IGHA1,0.28636176462135277
FTL,0.27185394366003957
PABPC1,0.23719329422126822
HMGN2,0.23657945749498355
TMSB4X,0.23397030982543576
ACTB,0.22107358037285207
TPT1,0.21901973915572803
UBC,0.20195929489629627
ACTG1,0.17047327122477407
KLK3,0.008102993989742124
ZNF575,0.0032084340149238777
PROK1,0.0027171169249089466
NPY1R,0.0
